userId,movieId,rating,timestamp
33,1,3.0,939647444
153,1,2.0,1525548642
161,1,4.0,1176751765
213,1,3.5,1316196157
240,1,5.0,849122434
422,1,4.0,986173307
443,1,4.0,1501722482
460,1,4.5,1359177505
528,1,2.5,1391736605
102,3,5.0,840635033
240,3,4.0,849122858
289,3,2.5,1143424657
79,6,4.0,975282111
102,6,3.0,835877535
317,6,5.0,1430532917
56,47,5.0,835799219
102,47,5.0,835876045
136,47,5.0,832449299
284,47,3.0,832695534
317,47,5.0,1430361508
352,47,5.0,1493931953
379,47,3.0,847397459
489,47,3.0,1333101316
512,47,5.0,841449359
29,50,3.5,1308007653
33,50,5.0,939646733
317,50,5.0,1430361374
352,50,5.0,1493931911
482,50,4.0,1105396885
510,50,4.0,1141160526
512,50,5.0,841449402
489,70,2.0,1385823826
510,101,4.0,1141159388
33,110,5.0,939648134
56,110,4.0,835799188
136,110,5.0,832449274
235,110,4.0,841422410
240,110,5.0,849122195
284,110,5.0,832699616
317,110,5.0,1430364906
340,110,5.0,848666415
379,110,5.0,847397381
443,110,4.5,1501722477
489,110,4.5,1332772116
512,110,5.0,841449335
528,110,5.0,1391736104
586,110,5.0,1529899907
33,151,4.0,939715904
136,151,5.0,832449391
482,151,1.0,1105396051
489,151,3.5,1332774582
512,151,5.0,841449579
102,163,3.0,835877307
136,163,1.0,832449637
136,216,5.0,832449683
240,216,5.0,849122831
284,216,4.0,832786827
510,216,3.0,1141159400
33,223,4.0,939648134
102,223,5.0,835877270
235,223,4.0,841422667
284,223,5.0,832786477
317,223,4.0,1430366031
56,231,5.0,835799115
102,231,3.0,835875836
136,231,2.0,832449197
240,231,4.0,849122129
284,231,4.0,832695208
349,231,2.0,834750625
489,231,2.5,1333101376
510,231,3.5,1141159097
589,231,4.0,856046112
136,235,4.0,832449454
235,235,4.0,841422568
284,235,3.0,832786349
289,235,4.0,1143424651
589,235,4.0,856043305
79,260,5.0,975281842
149,260,4.0,902084798
210,260,5.0,1473705468
317,260,4.0,1430361444
352,260,4.0,1493931941
422,260,5.0,986173117
443,260,4.0,1501722465
586,260,4.5,1529899127
29,296,3.5,1362016789
33,296,5.0,939717613
56,296,4.0,835799034
67,296,4.5,1501273753
102,296,5.0,835875691
136,296,1.0,832449136
153,296,3.0,1525548640
210,296,0.5,1473705619
235,296,4.0,841422308
240,296,2.0,849122058
284,296,4.0,832695048
317,296,5.0,1430361439
340,296,4.0,848666338
349,296,4.0,834750311
352,296,5.0,1493931922
379,296,2.0,847397202
443,296,4.0,1501722467
489,296,4.0,1333101247
512,296,5.0,841449203
528,296,4.0,1391735987
589,296,5.0,856045408
29,316,4.0,1362016849
56,316,3.0,835799115
136,316,2.0,832449197
149,316,4.0,902084966
240,316,4.0,849122130
284,316,4.0,832695208
340,316,4.0,848666375
379,316,3.0,847397292
482,316,5.0,1105396880
489,316,3.0,1333101362
512,316,3.0,841449258
586,316,4.0,1529901366
56,333,3.0,835799427
136,333,5.0,832449501
240,333,5.0,849122575
284,333,4.0,832786529
56,349,4.0,835799081
102,349,4.0,835875790
136,349,5.0,832449163
235,349,3.0,841422329
240,349,3.0,849122129
284,349,3.0,832695146
340,349,4.0,848666375
349,349,5.0,834750363
379,349,4.0,847397292
512,349,3.0,841449233
29,356,4.5,1362016780
33,356,5.0,939654815
56,356,5.0,835799274
67,356,4.5,1501274064
102,356,5.0,835876195
153,356,3.5,1525548096
235,356,5.0,841422389
240,356,5.0,849122130
284,356,5.0,832695327
317,356,5.0,1430364891
340,356,3.0,848666375
349,356,5.0,834750979
352,356,5.0,1493932086
379,356,5.0,847397292
443,356,5.0,1501722461
460,356,4.5,1359178245
489,356,4.0,1333101250
512,356,5.0,841449308
528,356,5.0,1391736163
589,356,5.0,856043369
240,362,3.0,849122745
56,367,3.0,835799295
136,367,4.0,832449729
240,367,4.0,849122256
284,367,5.0,832786307
349,367,4.0,834750979
379,367,2.0,847397459
489,367,1.5,1334169929
512,367,3.0,841449382
33,457,5.0,939646784
56,457,4.0,835799162
79,457,4.0,975281934
102,457,4.0,835875992
136,457,5.0,832449522
235,457,4.0,841422350
240,457,3.0,849122096
284,457,4.0,832699616
317,457,3.0,1430366030
340,457,5.0,848666356
379,457,5.0,847397247
510,457,4.5,1141158931
512,457,5.0,841449258
528,457,4.0,1391736276
586,457,4.5,1529903259
56,480,5.0,835799295
79,480,5.0,975282070
102,480,3.0,835876239
149,480,3.0,902084966
235,480,4.0,841422410
240,480,4.0,849122164
284,480,5.0,832699656
340,480,5.0,848666393
349,480,3.0,834751024
379,480,4.0,847397342
489,480,3.5,1333101257
510,480,3.0,1141158938
512,480,4.0,841449335
102,500,4.0,835877244
153,500,2.0,1525550654
235,500,4.0,841422461
240,500,5.0,849122256
284,500,5.0,832786349
349,500,3.0,834751177
379,500,3.0,847397459
489,500,3.5,1332772454
512,500,3.0,841449402
33,527,5.0,939716661
153,527,2.0,1525548221
157,527,5.0,992479576
235,527,5.0,841422500
349,527,4.0,834751177
352,527,5.0,1493931921
379,527,3.0,847397556
510,527,3.5,1141160575
512,527,5.0,841449445
586,527,2.5,1529899262
589,527,5.0,856043304
240,543,3.0,849122774
102,552,3.0,835877342
136,552,3.0,832450076
240,552,3.0,849122663
284,552,3.0,832699656
489,552,3.0,1334587703
102,553,4.0,835876272
136,553,3.0,832449422
240,553,5.0,849122434
510,553,1.0,1141158779
512,553,3.0,841449477
586,553,4.5,1529903585
102,590,4.0,835875690
136,590,3.0,832449136
235,590,4.0,841422308
240,590,4.0,849122058
284,590,4.0,832695048
340,590,5.0,848666338
349,590,4.0,834750598
352,590,5.0,1493932117
379,590,5.0,847397201
489,590,4.0,1333101281
512,590,3.0,841449201
589,590,5.0,856043304
56,592,3.0,835799034
102,592,3.0,835875690
136,592,4.0,832449136
235,592,3.0,841422308
240,592,3.0,849122058
284,592,5.0,832695048
340,592,5.0,848666337
379,592,3.0,847397201
482,592,4.0,1105396859
489,592,4.0,1334170003
33,593,5.0,939647370
56,593,5.0,835799139
102,593,4.0,835875943
136,593,3.0,832449522
235,593,5.0,841422350
317,593,5.0,1430361433
349,593,5.0,834750723
352,593,4.0,1493931966
443,593,3.5,1420236772
489,593,4.0,1333101253
510,593,3.5,1141160570
512,593,5.0,841449258
528,593,4.0,1391735957
589,593,5.0,856045407
161,596,3.5,1176498540
240,596,3.0,849122774
33,608,4.0,939647444
317,608,5.0,1430361529
443,608,5.0,1501722495
489,608,4.5,1332772289
235,648,3.0,841422650
340,648,4.0,848666212
482,648,4.0,1105396863
489,648,3.0,1333101322
240,673,5.0,849123370
56,733,4.0,835799427
489,733,3.5,1332772840
586,733,4.0,1529899989
589,733,2.0,856038894
235,736,4.0,841422634
240,736,5.0,849122459
284,736,4.0,832695534
489,736,2.5,1333101354
589,736,5.0,856038815
29,780,4.0,1362016798
149,780,3.0,902084966
153,780,0.5,1525552465
235,780,5.0,841422740
240,780,5.0,849122459
340,780,5.0,848666212
422,780,4.0,995235984
482,780,4.5,1105396861
489,780,2.5,1333101277
589,780,5.0,856038815
489,804,2.0,1333831977
33,919,5.0,940422746
489,919,4.5,1332773015
422,923,4.0,986173215
489,923,3.5,1335869037
482,1042,4.0,1105396640
489,1042,2.0,1385824141
33,1060,5.0,939646733
510,1060,3.0,1141159026
240,1073,5.0,849123234
489,1073,3.5,1333101432
586,1073,4.5,1529902581
289,1080,3.5,1143424660
352,1080,5.0,1493932092
489,1080,3.5,1333101639
317,1089,5.0,1430361494
352,1089,5.0,1493932013
489,1089,3.5,1385823465
589,1092,3.0,856045811
149,1097,4.0,902084874
460,1097,3.5,1359177501
489,1097,4.0,1333101385
586,1097,4.0,1529901514
589,1097,4.0,856043430
79,1127,5.0,975282111
149,1127,3.0,902084909
29,1136,4.0,1308084085
489,1136,3.5,1333101417
79,1196,5.0,975281343
149,1196,2.0,902084798
153,1196,0.5,1525548175
210,1196,5.0,1473705473
352,1196,4.0,1493931935
510,1196,3.5,1141160599
586,1196,4.5,1529899129
79,1197,4.0,975282009
29,1198,4.5,1307906966
153,1198,0.5,1525548264
210,1198,3.0,1473881958
213,1198,4.0,1316196847
352,1198,4.0,1493932037
482,1198,4.0,1105396533
489,1198,4.0,1333101305
510,1198,4.0,1141159012
586,1198,5.0,1529899130
149,1206,3.0,902084874
153,1206,2.5,1525550483
352,1206,3.5,1493931988
29,1208,4.0,1308084034
153,1208,2.0,1525551043
289,1208,4.0,1143424573
317,1208,5.0,1430366145
510,1208,4.0,1141158708
33,1210,5.0,939647873
79,1210,5.0,975282009
149,1210,4.0,902084798
210,1210,5.0,1473705479
586,1210,4.5,1529899132
29,1213,4.0,1308025032
33,1213,3.0,939646865
317,1213,4.0,1430361421
352,1213,3.5,1493931948
422,1213,5.0,986173244
510,1213,3.5,1141160602
528,1213,4.0,1391735936
149,1214,5.0,902084716
213,1214,4.5,1316196944
352,1214,5.0,1493931915
489,1214,4.0,1332772871
317,1219,5.0,1430366136
489,1219,3.5,1334170450
79,1220,5.0,975281545
289,1220,3.5,1143424582
482,1220,3.0,1105396001
489,1220,3.0,1385823565
29,1222,4.0,1308084128
79,1222,4.0,975281874
317,1222,3.0,1430366044
352,1222,4.0,1493931984
528,1222,4.0,1391736165
29,1224,4.0,1307905945
79,1240,4.0,975281904
149,1240,4.0,902084798
213,1240,4.0,1316195644
489,1240,3.5,1333101394
528,1240,4.0,1391736817
153,1258,3.0,1525550826
289,1258,4.0,1143424663
317,1258,5.0,1430517217
352,1258,5.0,1493932040
489,1258,4.0,1333101572
510,1258,4.0,1141158775
422,1265,4.0,986173367
489,1265,3.5,1333101421
510,1265,4.0,1141159029
586,1265,4.5,1529899624
29,1270,4.0,1307906647
67,1270,4.5,1501273836
149,1270,2.0,902084836
157,1270,4.0,992479516
210,1270,4.5,1527266224
482,1270,5.0,1105396543
489,1270,3.5,1333101319
586,1270,4.5,1529899793
489,1275,1.5,1332774744
67,1291,3.5,1501274102
79,1291,5.0,975282037
213,1291,4.0,1316196838
489,1291,4.0,1333101440
528,1291,3.5,1391736260
586,1291,4.0,1529899137
489,1377,3.5,1334587496
510,1396,3.5,1141159055
29,1408,5.0,1405816272
